Zomato URL,Name of Restaurant,Address,Location,Cuisine,Top Dishes,Price for 2,Ratings,No of Votes
https://www.zomato.com/chennai/the-black-pearl-sholinganallur,The Black Pearl," Plot 155, 292/132, Ground Floor, Rajiv Gandhi Salai, Old Mahabalipuram Road, Sholinganallur, Chennai",Sholinganallur,"North Indian, European, Mediterranean, Continental, BBQ","Fish,Pizza,Prawn,Jalebi,Pav Bhaji,Chaat,Mocktails",1500,4.9,2857
https://www.zomato.com/chennai/coal-barbecues-t-nagar,Coal Barbecues," 40, 2nd Floor, Bazullah Road, T. Nagar, Chennai",T. Nagar,"North Indian, Mediterranean, Asian, Arabian, BBQ","Chicken Honey,Pizza,Fish,Kulfi,Chicken Wings,Prawn,Burgers",1400,4.9,7320
https://www.zomato.com/chennai/palmshore-medavakkam,Palmshore," 4/581 A, Velachery Main Road, Senthamizh Nagar, Medavakkam, Chennai",Medavakkam,"North Indian, Chinese, Arabian","Biryani,Faluda,Fish,Bbq Chicken,Mutton Mandi,Brownie,Prawn",700,4.5,441
https://www.zomato.com/chennai/fromage-mrc-nagar,Fromage," Somerset Greenway, Lords Avenue, MRC Nagar, Chennai",MRC Nagar,"Cafe, Italian, French, European","Pasta,Pork Ribs,Chicken Steak,Chocolate Cake,Blueberry Cheesecake,Death By Chocolate,Pork Chops",1000,4.5,1073
https://www.zomato.com/chennai/savoury-sea-shell-anna-nagar-east,Savoury Sea Shell," 3, E Block, 3rd Avenue, Anna Nagar East, Chennai",Anna Nagar East,"Arabian, Chinese, North Indian, Lebanese, Salad","Shawarma,Chicken Grill,Brownie,Sea Food,Bbq Chicken,Biryani,Fish",1400,4.1,2446
https://www.zomato.com/chennai/dhaba-estd-1986-delhi-nungambakkam,Dhaba Estd 1986 Delhi," Bearing Door 123 - 124, Ishpahani Centre, Nungambakkam High Road, Nungambakkam, Chennai","Ispahani Centre, Nungambakkam",North Indian,"Lassi,Butter Chicken,Galauti Kebab,Balti Meat,Dal Makhani,Naan,Paneer Tikka",1800,4.7,1663
https://www.zomato.com/chennai/onesta-semmancheri,Onesta," 3/62, 2nd Floor, Tech Pump Towers, Kumaran Nagar, Semmancheri, Chennai",Semmancheri,"Pizza, Italian, Fast Food, Beverages, Desserts","Chocolate Banana,Pasta,Pepperoni,Bacon Pizza,Bbq Pizza,Lasagne,Fish",600,4.9,5119
https://www.zomato.com/chennai/abs-absolute-barbecues-velachery,AB's - Absolute Barbecues," Velachery Tharamani Link Road, Opposite TCS, Velachery, Chennai",Velachery,"BBQ, North Indian, European, Beverages","Fish,Paan Ice Cream,Prawn,Crispy Corn,Gulab Jamun,Sea Food,Chicken Honey",1400,4.8,3631
https://www.zomato.com/chennai/the-bark-1-alwarpet,The Bark," 40, Maharaja Surya Rao Road, Dutch Village, Alwarpet, Chennai",Alwarpet,"Cafe, Mexican, Italian, Continental","Burgers,Nachos,Mocktails,Fettuccine Pasta,Fries,Mashed Potato,Pink Sauce Pasta",800,4.3,535
https://www.zomato.com/chennai/ss-hyderabad-biryani-kodambakkam,SS Hyderabad Biryani," 98/339, Arcot Road, Opposite To Gokulam Chit Funds, Kodambakkam, Chennai",Kodambakkam,"North Indian, Chinese, Biryani","Tandoori Chicken,Brinjal Curry,Chicken Grill,Hyderabadi Biryani,Brinjal Gravy,Mutton Biryani,Chicken 65",500,4.3,1027
