title,sub_title,Rank,Horse / Owner,Points,Total Comps
2021 Points Display,HUNTER BREEDING YEARLING,1,"GRANDE FIESTA/ YARUS , KENDRA - MA",33,(8 comps)
2021 Points Display,HUNTER BREEDING YEARLING,,"UHTRED RAGNARSON/ TOURTELLOT, AMANDA - CT",33,(14 comps)
2021 Points Display,HUNTER BREEDING YEARLING,3,"PENDLETON WHF/ DELUCA, KRISTIN - CT",28,(18 comps)
2021 Points Display,HUNTER BREEDING YEARLING,4,"CHARLOTTE PF/ WILLIAMS, VICTORIA - CT",9,(2 comps)
2021 Points Display,HUNTER BREEDING YEARLING,5,"AUSTENTATIOUS/ DELUCA, KRISTIN - CT",4,(3 comps)
2021 Points Display,HUNTER BREEDING YEARLING,,"EAST WEST BUY AND BUY/ EAST-WEST SPORTHORSES, LLC. - NH",4,(2 comps)
2021 Points Display,HUNTER BREEDING YEARLING,7,"CABTIVATING NHF/ HOLZER, KATHERINE - CT",1,(1 comps)
2021 Points Display,HUNTER BREEDING 2 YEAR OLD,1,"PURE CLOVER/ TOURTELLOT, AMANDA - CT",117,(29 comps)
2021 Points Display,HUNTER BREEDING 2 YEAR OLD,2,"OUTLAW SPF/ COE, STEPHANIE - MA",31,(10 comps)
2021 Points Display,HUNTER BREEDING 2 YEAR OLD,3,"NO CALL LIST/ CARSON, KATIE - FL",24,(7 comps)
2021 Points Display,HUNTER BREEDING 2 YEAR OLD,4,"ORLEANS/ SHAPIRO, MICHELLE - VT",14,(4 comps)
2021 Points Display,HUNTER BREEDING 2 YEAR OLD,5,"OPHELIA/ MANCARELLA, KATHERINE  - CT",1,(1 comps)
2021 Points Display,HUNTER BREEDING 3 YEAR OLD,1,"NIDAVELLIR/ FILEWICZ, GINA - CT",259,(33 comps)
2021 Points Display,HUNTER BREEDING 3 YEAR OLD,2,"EXTRA CRISPY/ YOHO, MEGAN - CT",33,(16 comps)
2021 Points Display,HUNTER BREEDING 3 YEAR OLD,3,COLONIAL/ WESTBROOK HUNT CLUB - CT,11,(2 comps)
2021 Points Display,HUNTER BREEDING 3 YEAR OLD,4,DONNATINA PVF/ HAB SPORTHORSES LLC - CT,1,(2 comps)
2021 Points Display,PONY HUNTER BREEDING YEARLING,1,"PEPPERTINI/ DELUCA, KRISTIN - CT",91,(18 comps)
2021 Points Display,PONY HUNTER BREEDING YEARLING,2,"ORCHARD HILLS OKEY DOKIE/ FILEWICZ, GINA - CT",40,(8 comps)
